365 3
-100 -100 -100
-0.05 -0.025 -0.01
-0.05 -0.019444 -0.01
-0.05 -0.013889 -0.01
-0.05 -0.0083333 -0.01
-0.05 -0.0027777 -0.01
-0.05 0.0027778 -0.01
-0.05 0.0083334 -0.01
-0.05 0.013889 -0.01
-0.05 0.019444 -0.01
-0.05 0.025 -0.01
-0.044118 -0.025 -0.01
-0.044118 -0.019444 -0.01
-0.044118 -0.013889 -0.01
-0.044118 -0.0083333 -0.01
-0.044118 -0.0027777 -0.01
-0.044118 0.0027778 -0.01
-0.044118 0.0083334 -0.01
-0.044118 0.013889 -0.01
-0.044118 0.019444 -0.01
-0.044118 0.025 -0.01
-0.038235 -0.025 -0.01
-0.038235 -0.019444 -0.01
-0.038235 -0.013889 -0.01
-0.038235 -0.0083333 -0.01
-0.038235 -0.0027777 -0.01
-0.038235 0.0027778 -0.01
-0.038235 0.0083334 -0.01
-0.038235 0.013889 -0.01
-0.038235 0.019444 -0.01
-0.038235 0.025 -0.01
-0.032353 -0.025 -0.01
-0.032353 -0.019444 -0.01
-0.032353 -0.013889 -0.01
-0.032353 -0.0083333 -0.01
-0.032353 -0.0027777 -0.01
-0.032353 0.0027778 -0.01
-0.032353 0.0083334 -0.01
-0.032353 0.013889 -0.01
-0.032353 0.019444 -0.01
-0.032353 0.025 -0.01
-0.026471 -0.025 -0.01
-0.026471 -0.019444 -0.01
-0.026471 -0.013889 -0.01
-0.026471 -0.0083333 -0.01
-0.026471 -0.0027778 -0.01
-0.026471 0.0027778 -0.01
-0.026471 0.0083334 -0.01
-0.026471 0.013889 -0.01
-0.026471 0.019444 -0.01
-0.026471 0.025 -0.01
-0.020588 -0.025 -0.01
-0.020588 -0.019444 -0.01
-0.020588 -0.013889 -0.01
-0.020588 -0.0083333 -0.01
-0.020588 -0.0027778 -0.01
-0.020588 0.0027778 -0.01
-0.020588 0.0083334 -0.01
-0.020588 0.013889 -0.01
-0.020588 0.019444 -0.01
-0.020588 0.025 -0.01
-0.014706 -0.025 -0.01
-0.014706 -0.019444 -0.01
-0.014706 -0.013889 -0.01
-0.014706 -0.0083333 -0.01
-0.014706 -0.0027778 -0.01
-0.014706 0.0027778 -0.01
-0.014706 0.0083333 -0.01
-0.014706 0.013889 -0.01
-0.014706 0.019444 -0.01
-0.014706 0.025 -0.01
-0.0088235 -0.025 -0.01
-0.0088235 -0.019444 -0.01
-0.0088235 -0.013889 -0.01
-0.0088235 -0.0083333 -0.01
-0.0088235 -0.0027778 -0.01
-0.0088235 0.0027778 -0.01
-0.0088235 0.0083333 -0.01
-0.0088235 0.013889 -0.01
-0.0088235 0.019444 -0.01
-0.0088235 0.025 -0.01
-0.0029412 -0.025 -0.01
-0.0029412 -0.019444 -0.01
-0.0029412 -0.013889 -0.01
-0.0029412 -0.0083333 -0.01
-0.0029412 -0.0027778 -0.01
-0.0029412 0.0027778 -0.01
-0.0029412 0.0083333 -0.01
-0.0029412 0.013889 -0.01
-0.0029412 0.019444 -0.01
-0.0029412 0.025 -0.01
0.0029412 -0.025 -0.01
0.0029412 -0.019444 -0.01
0.0029412 -0.013889 -0.01
0.0029412 -0.0083333 -0.01
0.0029412 -0.0027778 -0.01
0.0029412 0.0027778 -0.01
0.0029412 0.0083333 -0.01
0.0029412 0.013889 -0.01
0.0029412 0.019444 -0.01
0.0029412 0.025 -0.01
0.0088235 -0.025 -0.01
0.0088235 -0.019444 -0.01
0.0088235 -0.013889 -0.01
0.0088235 -0.0083333 -0.01
0.0088235 -0.0027778 -0.01
0.0088235 0.0027778 -0.01
0.0088235 0.0083333 -0.01
0.0088235 0.013889 -0.01
0.0088235 0.019444 -0.01
0.0088235 0.025 -0.01
0.014706 -0.025 -0.01
0.014706 -0.019444 -0.01
0.014706 -0.013889 -0.01
0.014706 -0.0083333 -0.01
0.014706 -0.0027778 -0.01
0.014706 0.0027778 -0.01
0.014706 0.0083333 -0.01
0.014706 0.013889 -0.01
0.014706 0.019444 -0.01
0.014706 0.025 -0.01
0.020588 -0.025 -0.01
0.020588 -0.019444 -0.01
0.020588 -0.013889 -0.01
0.020588 -0.0083334 -0.01
0.020588 -0.0027778 -0.01
0.020588 0.0027778 -0.01
0.020588 0.0083333 -0.01
0.020588 0.013889 -0.01
0.020588 0.019444 -0.01
0.020588 0.025 -0.01
0.026471 -0.025 -0.01
0.026471 -0.019444 -0.01
0.026471 -0.013889 -0.01
0.026471 -0.0083334 -0.01
0.026471 -0.0027778 -0.01
0.026471 0.0027778 -0.01
0.026471 0.0083333 -0.01
0.026471 0.013889 -0.01
0.026471 0.019444 -0.01
0.026471 0.025 -0.01
0.032353 -0.025 -0.01
0.032353 -0.019444 -0.01
0.032353 -0.013889 -0.01
0.032353 -0.0083334 -0.01
0.032353 -0.0027778 -0.01
0.032353 0.0027777 -0.01
0.032353 0.0083333 -0.01
0.032353 0.013889 -0.01
0.032353 0.019444 -0.01
0.032353 0.025 -0.01
0.038235 -0.025 -0.01
0.038235 -0.019444 -0.01
0.038235 -0.013889 -0.01
0.038235 -0.0083334 -0.01
0.038235 -0.0027778 -0.01
0.038235 0.0027777 -0.01
0.038235 0.0083333 -0.01
0.038235 0.013889 -0.01
0.038235 0.019444 -0.01
0.038235 0.025 -0.01
0.044118 -0.025 -0.01
0.044118 -0.019444 -0.01
0.044118 -0.013889 -0.01
0.044118 -0.0083334 -0.01
0.044118 -0.0027778 -0.01
0.044118 0.0027777 -0.01
0.044118 0.0083333 -0.01
0.044118 0.013889 -0.01
0.044118 0.019444 -0.01
0.044118 0.025 -0.01
0.05 -0.025 -0.01
0.05 -0.019444 -0.01
0.05 -0.013889 -0.01
0.05 -0.0083334 -0.01
0.05 -0.0027778 -0.01
0.05 0.0027777 -0.01
0.05 0.0083333 -0.01
0.05 0.013889 -0.01
0.05 0.019444 -0.01
0.05 0.025 -0.01
-0.05 -0.025 0
-0.05 -0.019444 0
-0.05 -0.013889 0
-0.05 -0.0083333 0
-0.05 -0.0027777 0
-0.05 0.0027778 0
-0.05 0.0083334 0
-0.05 0.013889 0
-0.05 0.019444 0
-0.05 0.025 0
-0.044118 -0.025 0
-0.044118 -0.019444 0
-0.044118 -0.013889 0
-0.044118 -0.0083333 0
-0.044118 -0.0027777 0
-0.044118 0.0027778 0
-0.044118 0.0083334 0
-0.044118 0.013889 0
-0.044118 0.019444 0
-0.044118 0.025 0
-0.038235 -0.025 0
-0.038235 -0.019444 0
-0.038235 -0.013889 0
-0.038235 -0.0083333 0
-0.038235 -0.0027777 0
-0.038235 0.0027778 0
-0.038235 0.0083334 0
-0.038235 0.013889 0
-0.038235 0.019444 0
-0.038235 0.025 0
-0.032353 -0.025 0
-0.032353 -0.019444 0
-0.032353 -0.013889 0
-0.032353 -0.0083333 0
-0.032353 -0.0027777 0
-0.032353 0.0027778 0
-0.032353 0.0083334 0
-0.032353 0.013889 0
-0.032353 0.019444 0
-0.032353 0.025 0
-0.026471 -0.025 0
-0.026471 -0.019444 0
-0.026471 -0.013889 0
-0.026471 -0.0083333 0
-0.026471 -0.0027778 0
-0.026471 0.0027778 0
-0.026471 0.0083334 0
-0.026471 0.013889 0
-0.026471 0.019444 0
-0.026471 0.025 0
-0.020588 -0.025 0
-0.020588 -0.019444 0
-0.020588 -0.013889 0
-0.020588 -0.0083333 0
-0.020588 -0.0027778 0
-0.020588 0.0027778 0
-0.020588 0.0083334 0
-0.020588 0.013889 0
-0.020588 0.019444 0
-0.020588 0.025 0
-0.014706 -0.025 0
-0.014706 -0.019444 0
-0.014706 -0.013889 0
-0.014706 -0.0083333 0
-0.014706 -0.0027778 0
-0.014706 0.0027778 0
-0.014706 0.0083333 0
-0.014706 0.013889 0
-0.014706 0.019444 0
-0.014706 0.025 0
-0.0088235 -0.025 0
-0.0088235 -0.019444 0
-0.0088235 -0.013889 0
-0.0088235 -0.0083333 0
-0.0088235 -0.0027778 0
-0.0088235 0.0027778 0
-0.0088235 0.0083333 0
-0.0088235 0.013889 0
-0.0088235 0.019444 0
-0.0088235 0.025 0
-0.0029412 -0.025 0
-0.0029412 -0.019444 0
-0.0029412 -0.013889 0
-0.0029412 -0.0083333 0
-0.0029412 -0.0027778 0
-0.0029412 0.0027778 0
-0.0029412 0.0083333 0
-0.0029412 0.013889 0
-0.0029412 0.019444 0
-0.0029412 0.025 0
0.0029412 -0.025 0
0.0029412 -0.019444 0
0.0029412 -0.013889 0
0.0029412 -0.0083333 0
0.0029412 -0.0027778 0
0.0029412 0.0027778 0
0.0029412 0.0083333 0
0.0029412 0.013889 0
0.0029412 0.019444 0
0.0029412 0.025 0
0.0088235 -0.025 0
0.0088235 -0.019444 0
0.0088235 -0.013889 0
0.0088235 -0.0083333 0
0.0088235 -0.0027778 0
0.0088235 0.0027778 0
0.0088235 0.0083333 0
0.0088235 0.013889 0
0.0088235 0.019444 0
0.0088235 0.025 0
0.014706 -0.025 0
0.014706 -0.019444 0
0.014706 -0.013889 0
0.014706 -0.0083333 0
0.014706 -0.0027778 0
0.014706 0.0027778 0
0.014706 0.0083333 0
0.014706 0.013889 0
0.014706 0.019444 0
0.014706 0.025 0
0.020588 -0.025 0
0.020588 -0.019444 0
0.020588 -0.013889 0
0.020588 -0.0083334 0
0.020588 -0.0027778 0
0.020588 0.0027778 0
0.020588 0.0083333 0
0.020588 0.013889 0
0.020588 0.019444 0
0.020588 0.025 0
0.026471 -0.025 0
0.026471 -0.019444 0
0.026471 -0.013889 0
0.026471 -0.0083334 0
0.026471 -0.0027778 0
0.026471 0.0027778 0
